Week,None,D0,D1,D2,D3,D4,DSCI
2023-11-28,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-11-21,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-11-14,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-11-07,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-10-31,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-10-24,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-10-17,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-10-10,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-10-03,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-09-26,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-09-19,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-09-12,0.00,0.00,0.00,100.00,0.00,0.00,300
2023-09-05,0.00,0.00,0.00,100.00,0.00,0.00,300
2023-08-29,0.00,0.00,100.00,0.00,0.00,0.00,200
2023-08-22,0.00,0.00,100.00,0.00,0.00,0.00,200
2023-08-15,0.00,39.74,60.26,0.00,0.00,0.00,160
2023-08-08,0.00,39.73,60.27,0.00,0.00,0.00,160
2023-08-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-18,10.78,89.22,0.00,0.00,0.00,0.00,89
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,21.40,78.60,0.00,0.00,0.00,0.00,79
2023-03-07,21.40,78.60,0.00,0.00,0.00,0.00,79
2023-02-28,21.40,78.60,0.00,0.00,0.00,0.00,79
2023-02-21,0.00,98.10,1.90,0.00,0.00,0.00,102
2023-02-14,0.00,98.10,1.90,0.00,0.00,0.00,102
2023-02-07,0.00,98.10,1.90,0.00,0.00,0.00,102
2023-01-31,0.00,98.10,1.90,0.00,0.00,0.00,102
2023-01-24,0.00,98.10,1.90,0.00,0.00,0.00,102
2023-01-17,0.00,98.10,1.90,0.00,0.00,0.00,102
2023-01-10,0.00,97.88,2.12,0.00,0.00,0.00,102
2023-01-03,0.00,97.88,2.12,0.00,0.00,0.00,102
2022-12-27,0.00,97.88,2.12,0.00,0.00,0.00,102
2022-12-20,0.00,97.88,2.12,0.00,0.00,0.00,102
2022-12-13,0.00,97.88,2.12,0.00,0.00,0.00,102
2022-12-06,0.00,97.88,2.12,0.00,0.00,0.00,102
2022-11-29,0.00,8.81,91.19,0.00,0.00,0.00,191
2022-11-22,0.00,8.90,91.10,0.00,0.00,0.00,191
2022-11-15,0.00,8.90,91.10,0.00,0.00,0.00,191
2022-11-08,0.00,8.90,91.10,0.00,0.00,0.00,191
2022-11-01,0.00,8.90,91.10,0.00,0.00,0.00,191
2022-10-25,0.00,8.88,91.12,0.00,0.00,0.00,191
2022-10-18,0.00,8.88,91.12,0.00,0.00,0.00,191
2022-10-11,0.00,8.88,91.12,0.00,0.00,0.00,191
2022-10-04,0.00,8.88,91.12,0.00,0.00,0.00,191
2022-09-27,0.00,9.12,90.88,0.00,0.00,0.00,191
2022-09-20,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-09-13,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-09-06,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-08-30,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-08-23,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-08-16,0.00,0.00,79.47,20.53,0.00,0.00,221
2022-08-09,0.00,0.00,79.47,20.53,0.00,0.00,221
2022-08-02,0.00,0.00,0.00,100.00,0.00,0.00,300
2022-07-26,0.00,0.00,0.00,100.00,0.00,0.00,300
2022-07-19,0.00,0.00,0.00,36.80,63.20,0.00,363
2022-07-12,0.00,0.00,0.00,36.80,63.20,0.00,363
2022-07-05,0.00,0.00,0.00,36.80,63.20,0.00,363
2022-06-28,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-06-21,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-06-14,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-06-07,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-05-31,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-05-24,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-05-17,0.00,0.00,0.00,24.49,75.51,0.00,376
2022-05-10,0.00,0.00,0.00,100.00,0.00,0.00,300
2022-05-03,0.00,0.00,0.00,100.00,0.00,0.00,300
2022-04-26,0.00,0.00,0.00,100.00,0.00,0.00,300
2022-04-19,0.00,0.00,3.02,96.98,0.00,0.00,297
2022-04-12,0.00,0.00,3.02,96.98,0.00,0.00,297
2022-04-05,0.00,0.00,3.02,96.98,0.00,0.00,297
2022-03-29,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-03-22,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-03-15,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-03-08,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-03-01,0.00,0.00,100.00,0.00,0.00,0.00,200
2022-02-22,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-02-15,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-02-08,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-02-01,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-01-25,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-01-18,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-01-11,0.00,94.86,5.14,0.00,0.00,0.00,105
2022-01-04,0.00,95.49,4.51,0.00,0.00,0.00,105
2021-12-28,0.00,10.31,89.69,0.00,0.00,0.00,190
2021-12-21,0.00,11.85,88.15,0.00,0.00,0.00,188
2021-12-14,0.00,10.54,89.46,0.00,0.00,0.00,189
2021-12-07,0.00,10.35,89.65,0.00,0.00,0.00,190
2021-11-30,0.00,10.35,89.65,0.00,0.00,0.00,190
2021-11-23,0.00,10.35,89.65,0.00,0.00,0.00,190
2021-11-16,0.00,10.35,89.65,0.00,0.00,0.00,190
2021-11-09,0.00,10.35,89.65,0.00,0.00,0.00,190
2021-11-02,0.00,10.35,89.65,0.00,0.00,0.00,190
2021-10-26,0.00,10.30,89.70,0.00,0.00,0.00,190
2021-10-19,0.00,10.69,89.31,0.00,0.00,0.00,189
2021-10-12,0.00,10.69,89.31,0.00,0.00,0.00,189
2021-10-05,0.00,10.69,89.31,0.00,0.00,0.00,189
2021-09-28,0.00,10.24,89.76,0.00,0.00,0.00,190
2021-09-21,0.00,10.04,89.96,0.00,0.00,0.00,190
2021-09-14,0.00,10.04,89.96,0.00,0.00,0.00,190
2021-09-07,0.00,10.04,89.96,0.00,0.00,0.00,190
2021-08-31,0.00,0.00,98.18,1.82,0.00,0.00,202
2021-08-24,0.00,0.00,98.15,1.85,0.00,0.00,202
2021-08-17,0.00,0.00,98.15,1.85,0.00,0.00,202
2021-08-10,0.00,0.00,16.48,83.52,0.00,0.00,284
2021-08-03,0.00,0.00,16.48,83.52,0.00,0.00,284
2021-07-27,0.00,0.00,0.00,72.72,27.28,0.00,327
2021-07-20,0.00,0.00,0.00,0.00,87.43,12.57,413
2021-07-13,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-07-06,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-06-29,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-06-22,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-06-15,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-06-08,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-06-01,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-05-25,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-05-18,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-05-11,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-05-04,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-04-27,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-04-20,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-04-13,0.00,0.00,0.00,0.00,0.00,100.00,500
2021-04-06,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-03-30,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-03-23,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-03-16,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-03-09,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-03-02,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-02-23,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-02-16,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-02-09,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-02-02,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-01-26,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-01-19,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-01-12,0.00,0.00,0.00,0.00,65.41,34.59,435
2021-01-05,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-12-29,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-12-22,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-12-15,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-12-08,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-12-01,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-11-24,0.00,0.00,0.00,0.00,65.41,34.59,435
2020-11-17,0.00,0.00,0.00,0.00,99.57,0.43,400
2020-11-10,0.00,0.00,0.00,0.00,99.57,0.43,400
2020-11-03,0.00,0.00,0.00,19.37,80.20,0.43,381
2020-10-27,0.00,0.00,0.00,19.37,80.20,0.43,381
2020-10-20,0.00,0.00,0.00,19.37,80.20,0.43,381
2020-10-13,0.00,0.00,0.00,19.37,80.20,0.43,381
2020-10-06,0.00,0.00,0.00,19.37,80.20,0.43,381
2020-09-29,0.00,0.00,0.00,61.75,38.25,0.00,338
2020-09-22,0.00,0.00,0.00,70.17,29.83,0.00,330
2020-09-15,0.00,0.00,0.00,70.17,29.83,0.00,330
2020-09-08,0.00,0.00,0.00,70.17,29.83,0.00,330
2020-09-01,0.00,0.00,10.79,76.80,12.40,0.00,302
2020-08-25,0.00,0.00,8.91,78.69,12.40,0.00,303
2020-08-18,0.00,0.00,66.23,33.77,0.00,0.00,234
2020-08-11,0.00,65.76,21.53,12.72,0.00,0.00,147
2020-08-04,0.00,65.72,21.57,12.72,0.00,0.00,147
2020-07-28,0.00,65.72,21.57,12.72,0.00,0.00,147
2020-07-21,0.00,70.98,29.02,0.00,0.00,0.00,129
2020-07-14,61.38,38.62,0.00,0.00,0.00,0.00,39
2020-07-07,61.38,38.62,0.00,0.00,0.00,0.00,39
2020-06-30,91.39,8.61,0.00,0.00,0.00,0.00,9
2020-06-23,91.39,8.61,0.00,0.00,0.00,0.00,9
2020-06-16,91.39,8.61,0.00,0.00,0.00,0.00,9
2020-06-09,91.39,8.61,0.00,0.00,0.00,0.00,9
2020-06-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-05-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-05-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-05-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-05-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-01-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-01-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-01-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-01-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-03,88.47,11.53,0.00,0.00,0.00,0.00,12
2019-11-26,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-11-19,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-11-12,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-11-05,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-10-29,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-10-22,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-10-15,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-10-08,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-10-01,38.63,50.54,10.83,0.00,0.00,0.00,72
2019-09-24,0.00,89.17,10.83,0.00,0.00,0.00,111
2019-09-17,0.00,89.17,10.83,0.00,0.00,0.00,111
2019-09-10,35.75,62.02,2.23,0.00,0.00,0.00,66
2019-09-03,59.32,40.68,0.00,0.00,0.00,0.00,41
2019-08-27,78.23,21.77,0.00,0.00,0.00,0.00,22
2019-08-20,78.23,21.77,0.00,0.00,0.00,0.00,22
2019-08-13,78.23,21.77,0.00,0.00,0.00,0.00,22
2019-08-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-02-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-02-19,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-02-12,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-02-05,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-01-29,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-01-22,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-01-15,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-01-08,99.95,0.05,0.00,0.00,0.00,0.00,0
2019-01-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-12-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-12-18,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-12-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-12-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-11-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-11-20,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-11-13,0.00,34.33,65.67,0.00,0.00,0.00,166
2018-11-06,0.00,34.33,65.67,0.00,0.00,0.00,166
2018-10-30,0.00,0.73,99.27,0.00,0.00,0.00,199
2018-10-23,0.00,0.00,100.00,0.00,0.00,0.00,200
2018-10-16,0.00,0.00,100.00,0.00,0.00,0.00,200
2018-10-09,0.00,0.00,67.68,32.32,0.00,0.00,232
2018-10-02,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-09-25,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-09-18,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-09-11,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-09-04,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-08-28,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-08-21,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-08-14,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-08-07,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-07-31,0.00,0.00,66.47,33.53,0.00,0.00,234
2018-07-24,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-07-17,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-07-10,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-07-03,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-06-26,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-06-19,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-06-12,0.00,0.00,0.00,66.81,33.19,0.00,333
2018-06-05,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-05-29,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-05-22,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-05-15,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-05-08,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-05-01,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-04-24,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-04-17,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-04-10,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-04-03,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-03-27,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-03-20,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-03-13,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-03-06,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-02-27,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-02-20,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-02-13,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-02-06,0.00,0.00,0.00,67.53,32.47,0.00,332
2018-01-30,0.00,0.00,0.00,67.65,32.35,0.00,332
2018-01-23,0.00,0.00,0.00,100.00,0.00,0.00,300
2018-01-16,0.00,0.00,75.67,24.33,0.00,0.00,224
2018-01-09,0.00,0.00,75.67,24.33,0.00,0.00,224
2018-01-02,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-12-26,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-12-19,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-12-12,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-12-05,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-11-28,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-11-21,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-11-14,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-11-07,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-10-31,0.00,0.00,75.67,24.33,0.00,0.00,224
2017-10-24,0.00,30.04,69.96,0.00,0.00,0.00,170
2017-10-17,0.00,100.00,0.00,0.00,0.00,0.00,100
2017-10-10,0.00,100.00,0.00,0.00,0.00,0.00,100
2017-10-03,0.00,100.00,0.00,0.00,0.00,0.00,100
2017-09-26,86.22,13.78,0.00,0.00,0.00,0.00,14
2017-09-19,86.22,13.78,0.00,0.00,0.00,0.00,14
2017-09-12,86.22,13.78,0.00,0.00,0.00,0.00,14
2017-09-05,86.22,13.78,0.00,0.00,0.00,0.00,14
2017-08-29,86.22,13.78,0.00,0.00,0.00,0.00,14
2017-08-22,86.22,13.78,0.00,0.00,0.00,0.00,14
2017-08-15,21.80,78.20,0.00,0.00,0.00,0.00,78
2017-08-08,21.80,78.20,0.00,0.00,0.00,0.00,78
2017-08-01,21.80,78.20,0.00,0.00,0.00,0.00,78
2017-07-25,0.00,58.75,41.25,0.00,0.00,0.00,141
2017-07-18,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-07-11,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-07-04,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-06-27,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-06-20,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-06-13,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-06-06,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-05-30,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-05-23,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-05-16,0.00,0.00,100.00,0.00,0.00,0.00,200
2017-05-09,0.00,23.41,76.59,0.00,0.00,0.00,177
2017-05-02,0.00,83.15,16.85,0.00,0.00,0.00,117
2017-04-25,0.00,83.15,16.85,0.00,0.00,0.00,117
2017-04-18,0.00,83.15,16.85,0.00,0.00,0.00,117
2017-04-11,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-04-04,14.14,69.02,16.85,0.00,0.00,0.00,103
2017-03-28,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-03-21,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-03-14,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-03-07,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-02-28,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-02-21,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-02-14,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-02-07,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-01-31,14.13,69.02,16.85,0.00,0.00,0.00,103
2017-01-24,14.13,60.16,25.71,0.00,0.00,0.00,112
2017-01-17,14.13,60.16,25.71,0.00,0.00,0.00,112
2017-01-10,14.13,60.16,25.71,0.00,0.00,0.00,112
2017-01-03,14.13,60.16,25.71,0.00,0.00,0.00,112
2016-12-27,14.13,60.16,25.71,0.00,0.00,0.00,112
2016-12-20,12.66,61.64,25.71,0.00,0.00,0.00,113
2016-12-13,12.66,61.64,25.71,0.00,0.00,0.00,113
2016-12-06,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-11-29,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-11-22,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-11-15,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-11-08,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-11-01,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-10-25,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-10-18,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-10-11,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-10-04,12.17,62.12,25.71,0.00,0.00,0.00,114
2016-09-27,0.00,74.29,25.71,0.00,0.00,0.00,126
2016-09-20,0.00,74.29,25.71,0.00,0.00,0.00,126
2016-09-13,0.00,74.29,25.71,0.00,0.00,0.00,126
2016-09-06,0.00,0.00,73.29,26.71,0.00,0.00,227
2016-08-30,0.00,0.00,73.29,26.71,0.00,0.00,227
2016-08-23,0.00,0.00,73.29,26.71,0.00,0.00,227
2016-08-16,0.00,0.00,73.29,26.71,0.00,0.00,227
2016-08-09,0.00,0.00,54.25,45.75,0.00,0.00,246
2016-08-02,0.00,0.00,54.25,45.75,0.00,0.00,246
2016-07-26,0.00,0.00,6.38,93.62,0.00,0.00,294
